N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
56,60,17,6.6,23,87,68,blackgram
1,76,19,5.7,33,54,66,pigeonpeas
32,12,31,7.2,25,167,70,coconut
60,58,25,6.7,34,91,60,blackgram
113,11,48,6.2,20,93,79,watermelon
40,15,30,6.4,20,197,71,mango
31,80,85,6,22,64,62,chickpea
32,59,47,6.7,27,75,77,papaya
24,23,30,7.3,35,108,75,mango
49,73,20,6.5,24,84,64,blackgram
30,130,204,6.1,11,81,67,grapes
6,66,21,6.6,30,73,66,pigeonpeas
49,76,81,6.3,28,85,68,chickpea
32,64,25,6.2,24,76,62,pigeonpeas
12,43,15,6.2,33,74,67,mungbean
82,59,15,6.5,29,84,55,maize
36,40,24,6.1,22,91,62,mungbean
42,73,77,6.4,25,83,68,chickpea
117,88,55,6.5,26,151,77,banana
43,63,53,6.1,25,140,75,papaya
47,56,82,6.3,24,61,70,chickpea
36,64,23,7,35,80,64,blackgram
28,65,85,7.4,24,88,67,chickpea
88,86,48,6.8,29,153,78,banana
34,14,8,6.4,24,91,61,orange
35,133,199,6,5,116,67,apple
34,58,84,7.4,26,35,68,chickpea
95,43,23,7.2,25,66,52,maize
29,142,202,6.1,18,94,60,grapes
37,130,196,6.1,9,96,70,apple
30,65,75,7.3,26,29,63,chickpea
40,78,17,6.8,33,78,60,blackgram
27,73,84,6.1,20,64,61,chickpea
18,127,203,6.8,11,93,65,grapes
59,74,24,7.3,24,58,64,blackgram
30,8,36,6.8,32,78,69,pomegranate
98,9,50,6.7,20,76,72,watermelon
37,62,18,6.2,28,55,61,blackgram
21,136,198,6.3,15,62,69,grapes
5,74,16,6.7,24,67,61,lentil
23,48,20,6.4,29,100,64,mungbean
4,28,43,6.1,24,97,67,pomegranate
16,22,42,6.6,35,68,63,pomegranate
40,64,47,6.7,26,134,80,papaya
27,54,16,7,35,95,69,mothbeans
90,40,38,6.6,21,134,80,rice
51,70,15,7.5,28,62,70,blackgram
124,52,22,6.9,28,79,64,cotton
138,53,16,6,22,66,61,cotton
119,88,52,6.9,21,153,71,banana
14,25,29,6.5,32,188,71,coconut
30,69,80,6.8,22,47,64,chickpea
37,77,77,7,26,85,65,chickpea
1,17,25,6.3,30,180,75,coconut
37,62,18,6.4,23,82,66,lentil
17,58,22,6.3,23,77,64,mungbean
13,80,15,6.6,25,86,63,lentil
83,24,51,6.4,20,67,71,watermelon
13,43,19,7.3,33,81,68,mothbeans
117,93,47,6.4,27,197,74,banana
82,10,45,6.7,20,83,76,watermelon
97,41,36,5.6,31,100,77,rice
101,13,54,6.2,20,54,80,muskmelon
20,30,40,6,36,56,70,pomegranate
102,89,51,7,25,193,80,banana
50,56,18,6.4,28,53,65,blackgram
16,58,17,6.5,25,88,63,lentil
107,42,16,6.6,21,65,69,cotton
55,62,23,6.2,21,90,64,blackgram
54,45,48,6.9,25,142,73,papaya
26,135,202,6.5,12,97,62,grapes
39,144,203,6.9,14,86,62,grapes
108,88,46,7,26,196,79,banana
118,78,50,6.7,30,200,80,banana
61,53,37,6.9,24,116,73,rice
11,14,15,6.3,28,135,63,orange
1,50,21,6.5,33,80,62,mungbean
32,41,16,6.4,29,99,63,mungbean
57,61,77,7.4,30,83,70,chickpea
26,75,16,6,21,70,66,lentil
16,16,13,6.7,27,125,64,orange
82,27,47,6.5,20,56,76,watermelon
3,42,21,6.6,26,88,66,mungbean
13,29,32,7.2,28,105,80,mango
30,68,25,6.4,27,87,64,pigeonpeas
11,71,15,6.9,20,88,69,kidneybeans
28,19,9,6,25,124,62,orange
107,48,21,6.8,24,77,61,cotton
93,30,48,6.8,20,50,78,watermelon
37,7,45,6.6,23,95,64,pomegranate
36,31,33,6.9,27,115,72,mango
51,60,24,6.5,34,98,67,blackgram
44,57,80,6.7,27,66,67,chickpea
28,36,20,6.8,28,85,70,mungbean
19,130,202,6.4,12,78,67,grapes
1,26,35,6.8,21,183,80,coconut
62,39,38,6.2,26,146,72,rice
26,76,16,6.5,26,57,64,kidneybeans
105,18,45,6.4,20,58,79,watermelon
8,67,16,6.5,25,52,66,kidneybeans
82,74,46,5.7,21,169,74,banana
50,69,85,6.4,20,93,61,chickpea
59,47,48,6.2,23,102,73,papaya
36,58,25,7.1,35,76,64,blackgram
111,11,45,6.5,20,55,79,watermelon
8,126,202,6.6,8,79,64,apple
23,44,25,7.1,21,92,70,mothbeans
30,25,31,6.6,28,154,76,coconut
16,39,32,6.6,26,152,72,mango
19,133,200,6.6,10,75,64,apple
52,66,16,6.6,22,93,66,blackgram
21,20,41,6.6,24,57,69,pomegranate
35,63,24,6.4,26,74,63,lentil
36,134,195,6.9,12,64,65,grapes
16,70,23,6.6,27,64,60,kidneybeans
34,52,22,6.5,26,97,67,mothbeans
112,53,25,6.2,24,85,62,cotton
120,46,16,6.1,30,97,69,cotton
17,79,15,6.9,21,71,63,kidneybeans
81,29,54,6.6,20,70,74,muskmelon
106,82,52,6.8,22,161,70,banana
69,57,15,6.5,20,51,55,maize
17,42,17,7.4,35,87,67,mothbeans
31,17,7,6,27,105,68,orange
18,66,18,6.5,35,83,66,pigeonpeas
100,48,17,6.4,21,100,52,maize
26,124,200,6.4,7,85,69,apple
84,5,53,6.5,20,56,74,muskmelon
99,36,44,6.2,22,141,71,rice
89,40,19,6.1,29,80,58,maize
42,78,19,6.9,35,82,62,blackgram
105,25,51,6.5,20,90,73,muskmelon
97,36,38,6.3,35,105,77,rice
6,36,24,6.3,32,78,61,mothbeans
32,63,16,6.2,23,86,66,kidneybeans
25,10,11,6.2,26,134,68,orange
20,140,205,6.5,6,79,62,apple
100,26,54,6.3,20,93,75,muskmelon
9,125,200,6.8,15,83,70,grapes
10,44,20,6.4,26,99,68,mungbean
69,46,21,6.2,24,59,55,maize
14,144,198,6.2,18,38,63,grapes
13,59,18,6,30,69,61,mungbean
13,132,203,6.3,10,69,61,grapes
85,38,41,6,34,133,72,rice
99,35,38,6.2,34,146,75,rice
3,59,18,6.8,21,81,61,lentil
85,55,43,6.1,21,100,71,rice
17,24,5,6.3,25,86,70,orange
20,25,39,6.6,37,52,70,pomegranate
116,7,46,6.4,20,81,79,muskmelon
53,68,80,7,25,83,70,chickpea
33,12,14,7,24,82,60,orange
34,36,24,6.5,31,68,68,mungbean
4,43,17,6.7,24,92,70,mothbeans
39,63,85,6.7,21,60,60,chickpea
35,59,24,7,29,53,65,mungbean
34,5,29,7,20,183,73,coconut
123,43,18,6.9,24,54,64,cotton
2,26,32,6.4,22,100,72,mango
34,8,14,6.4,23,138,64,orange
36,15,42,6.4,36,72,69,pomegranate
2,48,20,6.1,34,60,64,mungbean
93,27,53,6.7,20,82,71,watermelon
5,20,29,7,24,129,77,mango
130,56,15,6.9,27,76,60,cotton
33,50,55,6.6,20,93,79,papaya
9,27,33,6.7,34,177,74,mango
35,33,26,6.8,33,157,70,mango
105,11,49,6.5,20,58,77,muskmelon
48,65,18,6.7,20,99,61,blackgram
25,21,10,6.8,29,122,68,orange
99,12,45,6.2,20,76,80,watermelon
7,27,44,6,20,86,60,pomegranate
31,71,23,6.8,30,75,64,lentil
58,76,16,6.3,33,69,63,blackgram
93,23,47,6.2,20,99,80,muskmelon
54,79,82,7,23,48,67,chickpea
43,60,78,7,22,95,68,chickpea
35,28,27,7.4,27,156,70,mango
40,72,17,7.4,34,59,67,pigeonpeas
36,126,201,6.2,10,140,67,apple
86,6,45,7,20,56,73,watermelon
24,7,37,6.9,28,51,60,pomegranate
13,8,30,7.1,32,190,79,coconut
5,137,201,6.7,9,149,64,apple
7,21,9,6.2,23,97,70,orange
12,57,15,6,30,79,60,kidneybeans
29,74,23,6.9,30,95,64,blackgram
52,74,80,6.9,30,76,67,chickpea
133,52,15,6.5,23,77,63,cotton
25,12,37,6.7,37,80,68,pomegranate
27,63,17,6.9,24,77,70,lentil
25,126,205,6.6,10,94,64,grapes
79,49,45,6.5,24,148,70,rice
8,60,19,6.1,22,56,63,lentil
82,45,42,5.9,33,117,78,rice
116,16,53,6.5,20,80,79,watermelon
29,139,197,6.3,7,92,64,apple
28,77,17,6.3,28,92,68,blackgram
28,77,85,6.1,29,87,62,chickpea
89,19,55,6.5,20,75,70,muskmelon
93,28,46,6.9,20,87,72,muskmelon
23,5,5,6.5,21,77,61,orange
18,72,23,5.7,26,59,65,pigeonpeas
17,11,45,6.6,27,62,69,pomegranate
2,60,17,6.9,21,71,62,mothbeans
55,65,20,7.4,30,85,68,blackgram
33,60,21,7.3,23,71,64,pigeonpeas
52,51,48,6.7,29,120,73,papaya
90,60,20,6.1,21,78,58,maize
97,6,46,6.6,20,55,73,watermelon
22,57,16,7.5,29,69,66,blackgram
93,13,53,6.3,20,94,79,muskmelon
28,24,32,6.1,31,198,73,mango
67,35,21,6.2,20,85,57,maize
9,38,20,6.6,31,77,65,mungbean
2,13,29,6.5,25,182,74,coconut
1,28,28,6.4,21,122,77,mango
95,10,55,6.2,20,87,76,muskmelon
83,53,20,7.2,23,63,57,maize
35,45,15,6.1,28,60,63,mungbean
1,57,23,6,24,57,66,kidneybeans
109,23,52,6.3,20,71,77,watermelon
29,30,33,6.7,20,182,72,mango
7,66,24,7.4,30,60,66,pigeonpeas
2,134,200,6.1,16,43,61,grapes
6,34,28,7.1,22,169,78,mango
14,35,25,6.9,28,93,63,mungbean
19,41,17,6.9,32,51,70,mungbean
120,80,52,6.7,26,177,79,banana
84,79,51,6.9,27,186,70,banana
22,134,205,6.8,15,30,62,grapes
12,35,32,6.7,20,181,78,mango
31,140,199,6.1,19,43,60,grapes
19,38,23,6.4,25,66,64,mothbeans
0,120,205,6.6,9,116,68,apple
35,17,13,6.8,30,131,68,orange
33,7,39,7,28,99,65,pomegranate
83,75,54,5.8,26,163,72,banana
32,5,39,6.1,23,93,69,pomegranate
58,63,46,6.1,28,108,78,papaya
17,74,15,6.8,23,73,62,kidneybeans
98,50,42,7,28,143,72,rice
48,78,18,7.2,32,71,68,blackgram
30,67,16,6.1,35,99,64,pigeonpeas
37,139,201,6.3,7,101,65,apple
30,124,205,6.1,9,107,67,apple
14,63,17,7,27,91,68,pigeonpeas
60,58,40,6.9,26,113,80,rice
30,29,45,6.9,26,89,66,pomegranate
22,56,24,6.8,26,76,60,blackgram
6,27,44,6.5,30,78,63,pomegranate
40,50,16,7.4,21,93,66,mothbeans
26,12,6,6.3,28,116,67,orange
35,21,27,6.8,33,192,78,mango
20,35,21,6.5,32,64,66,mothbeans
97,85,51,6.7,25,183,71,banana
41,63,15,7.5,35,74,70,blackgram
51,56,19,6.7,33,70,63,blackgram
31,62,78,6.9,27,30,63,chickpea
93,7,45,7,20,80,71,watermelon
97,5,50,6.2,20,78,80,muskmelon
26,61,83,6.4,29,59,65,chickpea
16,122,203,6.7,5,99,63,apple
13,10,13,6.4,26,145,67,orange
38,22,30,6.7,26,183,71,coconut
30,56,22,7.3,32,84,62,blackgram
16,10,32,6,33,160,75,coconut
11,58,22,7.3,29,85,67,pigeonpeas
10,141,205,6,6,121,60,apple
54,46,45,6.1,27,108,73,papaya
35,39,17,6.3,21,73,65,mungbean
58,75,16,6.1,22,62,64,blackgram
38,55,15,6.2,22,100,69,mothbeans
31,55,54,6.7,24,122,76,papaya
13,16,7,7,25,105,67,orange
103,17,45,6.8,20,51,75,muskmelon
40,55,20,7.3,31,70,66,mothbeans
25,72,17,6.5,21,92,62,pigeonpeas
53,61,21,7.1,29,91,64,blackgram
39,76,80,7.2,29,35,61,chickpea
28,24,44,6.2,33,96,69,pomegranate
75,41,20,6.9,26,82,53,maize
114,5,46,7,20,71,70,muskmelon
32,61,17,6.6,22,87,68,kidneybeans
19,65,15,6.9,31,79,65,pigeonpeas
35,127,198,6.3,8,79,61,apple
30,70,23,6.9,27,95,61,kidneybeans
3,57,22,6.5,29,61,65,lentil
38,15,44,6.5,27,85,63,pomegranate
115,90,54,6.7,27,168,76,banana
61,57,52,6.5,26,123,72,papaya
13,28,26,6.7,28,129,74,mango
25,52,16,6.8,28,78,66,mungbean
6,144,202,6.8,5,127,62,apple
22,67,17,6.2,30,74,64,blackgram
1,36,23,6.5,22,76,62,mothbeans
16,121,201,6.4,15,43,70,grapes
113,9,48,6.6,20,90,70,watermelon
106,75,45,6.2,21,162,78,banana
23,79,24,6.3,30,80,62,pigeonpeas
39,57,18,6.3,26,58,65,lentil
80,56,19,6.2,27,92,55,maize
37,124,199,6.2,13,85,64,grapes
40,22,27,7.5,28,154,77,mango
22,69,25,6.9,24,77,64,kidneybeans
4,25,30,6.5,25,157,76,coconut
82,57,37,5.8,22,141,78,rice
35,74,25,6.6,23,69,70,lentil
8,21,31,6.9,33,196,70,mango
14,34,35,7.1,27,163,80,mango
22,75,78,6.3,20,69,62,chickpea
98,26,50,6.4,20,90,79,muskmelon
10,141,204,6.3,6,114,62,apple
101,57,17,6.5,22,64,64,cotton
47,65,76,6.4,23,64,61,chickpea
0,55,23,6,33,63,66,pigeonpeas
40,63,22,6,27,63,60,lentil
39,51,49,6.3,24,135,76,papaya
19,49,22,6.5,30,83,64,mungbean
18,35,20,6.7,22,92,64,mungbean
11,70,25,7,26,92,66,pigeonpeas
36,127,200,6.2,10,83,60,apple
130,60,18,6.2,28,87,61,cotton
9,11,34,6.7,30,150,79,coconut
127,36,17,6.7,30,59,63,cotton
33,58,23,6.4,28,85,67,pigeonpeas
87,81,53,6.1,24,153,71,banana
27,8,29,6.9,34,172,76,coconut
40,38,19,6.2,22,59,67,mungbean
37,13,14,6.6,21,139,68,orange
26,25,39,6.8,40,51,70,pomegranate
11,33,26,7.1,32,142,78,mango
126,38,20,6.4,30,92,65,cotton
38,40,15,6.1,22,80,62,mungbean
24,30,9,6.4,29,135,64,orange
117,44,16,6.9,29,86,70,cotton
118,74,47,6.3,26,187,71,banana
33,52,52,6.6,29,146,73,papaya
106,11,52,6.2,20,53,73,muskmelon
68,52,44,7,23,121,77,rice
33,49,15,6.2,20,94,66,mungbean
105,29,51,6.8,20,99,72,watermelon
17,63,17,6.1,24,91,65,pigeonpeas
31,24,41,6.2,25,86,64,pomegranate
58,48,48,6.8,20,109,79,papaya
36,23,14,6.3,21,79,67,orange
30,71,77,7.4,23,25,62,chickpea
93,47,20,7.3,26,94,57,maize
30,121,202,6.1,9,78,62,apple
7,22,35,7.4,34,180,73,coconut
104,95,55,6.3,24,190,71,banana
32,78,23,6.6,25,61,67,kidneybeans
70,41,41,5.5,21,104,80,rice
15,70,15,6,32,68,70,pigeonpeas
135,42,18,6.1,27,68,69,cotton
103,37,17,6.8,29,89,68,cotton
46,55,47,6.4,26,75,77,papaya
88,86,53,6.9,24,156,76,banana
7,73,16,6.5,24,74,66,pigeonpeas
39,13,25,6,29,152,70,coconut
66,42,40,6.4,21,127,78,rice
16,59,17,6.1,27,82,61,mungbean
53,49,46,6.7,25,128,70,papaya
93,52,41,6.7,24,128,73,rice
115,10,47,6.2,20,95,72,muskmelon
105,75,48,6.6,30,172,71,banana
37,60,83,6.1,28,52,68,chickpea
133,37,17,6.2,21,87,60,cotton
86,17,55,6.3,20,75,76,watermelon
17,17,10,6.8,22,75,60,orange
62,56,46,6.1,20,90,78,papaya
73,60,37,5.7,34,102,76,rice
89,25,49,6.2,20,63,78,muskmelon
11,15,39,6.5,30,58,63,pomegranate
35,130,196,6.4,6,144,70,apple
86,70,54,5.6,29,184,72,banana
45,66,82,7.1,30,88,68,chickpea
21,61,19,6.6,31,73,68,blackgram
25,59,19,6.5,20,93,70,lentil
30,68,24,7.4,24,94,66,blackgram
16,67,22,6,28,75,64,lentil
28,63,19,6.6,23,58,70,kidneybeans
10,141,195,6.2,5,105,61,apple
13,38,29,6.9,31,114,75,mango
42,80,82,6.1,27,25,60,chickpea
83,56,21,6.7,30,84,53,maize
17,128,199,6.4,16,76,66,grapes
105,27,48,6,20,64,76,watermelon
105,27,49,7,20,82,79,muskmelon
108,93,48,5.9,25,190,71,banana
16,5,35,6.2,23,59,60,pomegranate
20,16,42,6.7,26,80,69,pomegranate
104,38,19,6.9,24,95,64,cotton
86,84,47,6.2,24,179,74,banana
113,57,25,6.7,27,60,65,cotton
87,95,45,6.3,27,196,80,banana
10,56,16,6.6,35,69,64,mungbean
8,62,24,6.7,25,88,64,kidneybeans
60,51,45,6.8,30,124,71,rice
18,137,201,6.2,20,75,63,grapes
43,68,77,6.2,25,51,67,chickpea
3,41,23,6.7,26,63,67,mungbean
81,18,45,6.2,20,70,76,watermelon
102,89,53,5.6,27,151,79,banana
93,40,44,6.8,28,114,78,rice
81,77,54,6.5,28,178,75,banana
6,75,15,7.2,30,77,62,pigeonpeas
3,63,21,6.6,24,80,62,lentil
58,79,83,6.5,29,61,63,chickpea
17,63,15,6.5,31,81,65,pigeonpeas
8,17,35,6,22,130,70,mango
51,64,21,6.7,33,53,63,blackgram
22,35,21,6.1,21,91,63,mothbeans
19,40,25,7,27,81,70,mothbeans
65,47,54,6.9,23,122,79,papaya
80,36,17,6.8,21,75,51,maize
43,64,18,6.6,28,65,62,blackgram
17,45,16,6.2,28,52,63,mungbean
26,129,198,6.2,5,96,60,apple
10,33,30,7.2,26,133,78,mango
33,21,37,6.2,34,67,63,pomegranate
87,9,50,6.2,20,96,76,muskmelon
36,59,15,6.9,24,79,68,mungbean
29,72,16,6.8,26,60,65,blackgram
99,56,18,6.1,26,50,51,maize
86,55,25,7.4,29,91,60,maize
10,144,197,6.4,9,134,68,apple
127,47,24,7,28,89,67,cotton
84,90,54,6.2,20,159,80,banana
109,95,49,6.5,24,151,73,banana
36,28,40,6.7,28,99,63,pomegranate
32,49,18,7.2,25,62,65,mothbeans
74,41,19,6.4,28,83,57,maize
27,19,31,6.4,20,115,80,mango
38,68,83,7.5,22,43,63,chickpea
85,45,19,7.1,20,58,57,maize
23,70,20,6.3,20,84,64,blackgram
20,56,25,7.1,34,81,66,blackgram
25,57,18,7,22,99,63,kidneybeans
31,53,49,6.3,28,97,76,papaya
111,20,48,6.1,20,58,78,watermelon
8,13,35,6.4,28,63,70,pomegranate
23,69,76,7.3,21,94,62,chickpea
117,25,54,6,20,96,75,watermelon
56,77,80,6.2,20,91,65,chickpea
14,71,23,6,35,65,67,pigeonpeas
12,9,29,6.6,22,179,73,coconut
15,45,20,7.2,28,87,67,mothbeans
3,48,20,6.1,28,68,60,mothbeans
104,53,17,6.9,23,51,69,cotton
89,27,54,6,20,77,71,muskmelon
66,65,46,6.5,25,140,78,papaya
20,46,23,6.5,34,81,62,mungbean
83,60,40,5.6,22,134,74,rice
19,18,33,7,23,183,72,coconut
19,16,25,7,21,189,78,mango
27,28,10,6.8,23,132,61,orange
63,52,24,6.4,25,95,53,maize
118,70,49,5.8,26,192,76,banana
82,16,46,6,20,67,80,muskmelon
3,136,202,6.9,6,119,65,apple
101,45,24,6.4,21,94,60,cotton
35,22,29,6.6,26,183,79,coconut
48,57,45,6.1,28,109,75,papaya
28,80,17,6.4,23,93,70,blackgram
46,64,85,6.1,25,47,65,chickpea
99,15,46,6.5,20,50,80,muskmelon
38,24,12,6.9,29,132,64,orange
37,28,35,6.1,32,73,69,pomegranate
5,55,22,6.3,35,66,65,pigeonpeas
3,36,26,6.4,32,121,71,mango
1,141,195,6.2,6,96,61,apple
7,20,14,6.6,28,86,68,orange
105,42,16,6.1,28,53,66,cotton
18,12,15,6,20,121,65,orange
37,59,24,6.6,31,80,66,mothbeans
24,22,33,7,29,147,77,mango
14,43,22,6.6,25,68,64,mothbeans
11,67,15,7,28,96,67,kidneybeans
56,73,80,7,26,27,61,chickpea
23,21,45,6.9,38,80,60,pomegranate
84,29,53,6.7,20,55,75,muskmelon
11,9,9,6.2,23,128,60,orange
13,141,201,6.4,11,72,69,grapes
58,56,84,6.5,28,92,64,chickpea
61,63,54,6.2,29,119,72,papaya
7,75,21,6.7,21,61,65,kidneybeans
81,73,52,6.6,21,194,78,banana
2,64,24,6,26,91,68,kidneybeans
40,60,53,6.2,21,99,71,papaya
6,9,31,7.4,24,179,74,coconut
16,11,29,6.3,25,169,70,coconut
120,91,51,6.9,20,171,78,banana
22,7,44,6.4,21,84,70,pomegranate
54,74,79,7.3,21,85,64,chickpea
27,78,19,6.2,20,62,70,lentil
28,7,26,6.5,31,186,74,coconut
15,30,25,6.8,27,178,70,coconut
28,8,30,7,23,171,70,coconut
38,129,199,6.9,10,115,65,apple
23,8,25,7.4,35,161,77,coconut
20,145,201,6.1,9,139,62,apple
28,27,9,6.5,30,98,66,orange
93,80,55,5.5,21,185,80,banana
85,91,49,5.6,27,194,75,banana
108,20,51,6.2,20,99,78,watermelon
20,71,23,7.2,26,69,61,pigeonpeas
49,61,47,7,22,102,78,papaya
1,7,38,7,35,88,68,pomegranate
25,67,20,5.8,28,86,68,pigeonpeas
71,52,16,7.4,26,89,53,maize
32,63,22,6.6,29,90,70,kidneybeans
29,132,202,6.1,9,136,65,apple
20,57,21,6.4,24,63,68,lentil
83,85,51,6.3,27,173,79,banana
8,48,16,7.3,21,89,64,mothbeans
18,29,35,6.8,20,92,62,pomegranate
9,131,200,6.4,19,50,64,grapes
2,25,30,7.1,23,167,70,coconut
3,55,15,6.3,28,64,66,lentil
25,30,44,6.4,30,84,60,pomegranate
113,85,53,6.1,23,170,77,banana
44,70,84,6.3,27,43,61,chickpea
59,69,46,6.9,30,114,78,papaya
8,20,28,7.4,30,174,80,mango
35,26,15,6.5,21,76,65,orange
28,73,22,6.3,20,70,69,lentil
96,40,22,7.1,29,50,57,maize
31,72,18,7.2,31,60,70,pigeonpeas
27,67,77,6.7,26,75,69,chickpea
24,64,16,5.9,28,68,60,pigeonpeas
32,11,45,6.5,33,62,64,pomegranate
106,14,55,6.7,20,78,75,watermelon
80,21,54,6.5,20,71,71,watermelon
28,137,204,7,9,137,63,apple
23,60,17,7.2,20,61,68,blackgram
122,44,25,6.3,26,58,60,cotton
90,47,18,7.4,27,87,60,maize
97,16,46,6.2,20,74,75,watermelon
94,49,42,6.5,24,111,80,rice
23,24,15,6.2,28,82,64,orange
83,44,45,6,35,123,73,rice
12,8,5,6.7,27,142,69,orange
2,58,17,7,29,77,62,kidneybeans
2,74,20,7,24,100,70,pigeonpeas
4,67,24,6.1,22,54,60,pigeonpeas
82,57,18,6.2,22,85,50,maize
61,58,17,6.2,20,91,59,maize
12,75,22,6.6,30,56,63,lentil
40,134,199,6.1,6,128,62,apple
89,36,38,7,34,129,79,rice
46,62,55,6.5,26,136,74,papaya
15,26,27,7.4,32,126,77,mango
85,36,36,5.9,31,129,79,rice
93,36,44,5.6,28,140,70,rice
93,55,45,6.3,31,129,73,rice
10,47,17,6.3,34,79,61,mungbean
40,56,20,6.3,21,100,70,blackgram
113,25,55,6.4,20,97,80,muskmelon
26,27,30,7.1,33,165,74,coconut
1,29,41,6.8,31,78,66,pomegranate
6,35,31,6.2,32,127,77,mango
99,38,17,7.4,28,84,56,maize
17,15,30,6.4,32,169,75,coconut
77,44,18,6.1,21,77,55,maize
11,36,20,6.5,32,100,64,mungbean
25,30,11,6.2,27,92,62,orange
21,26,25,6.2,34,113,72,mango
100,14,52,6.8,20,97,78,watermelon
0,42,15,6.5,23,94,70,mothbeans
125,42,22,6.4,27,57,64,cotton
82,48,38,5.7,34,140,75,rice
11,18,42,6.6,21,55,70,pomegranate
98,29,51,6.1,20,100,71,muskmelon
25,38,29,6.7,29,113,79,mango
44,69,19,6.8,20,56,61,blackgram
21,129,201,6.7,10,110,70,apple
60,40,20,6.1,28,79,50,maize
90,80,52,6.8,20,167,75,banana
97,72,48,6.1,23,175,70,banana
109,81,54,6.1,24,183,71,banana
37,6,42,6.8,26,61,60,pomegranate
84,35,20,6.8,30,60,56,maize
34,47,18,6.3,23,91,66,mungbean
37,36,17,6.2,27,61,62,mungbean
49,61,55,6.6,24,120,70,papaya
33,5,10,6.9,20,137,64,orange
119,11,49,6.5,20,100,71,watermelon
15,5,10,6,23,101,69,orange
34,75,15,6.9,20,87,67,kidneybeans
14,53,17,6.8,28,88,63,mothbeans
101,25,55,6.5,20,74,72,watermelon
56,55,54,6.6,23,101,70,papaya
99,41,24,6.4,20,56,57,maize
13,30,32,6.3,32,106,76,mango
22,131,197,6.2,7,121,70,apple
76,41,20,7.4,24,73,52,maize
20,29,40,6.1,30,97,69,pomegranate
36,23,34,7.5,29,135,77,mango
58,65,47,6.6,20,141,71,papaya
34,55,83,6.6,23,45,62,chickpea
71,53,17,6.7,22,71,52,maize
53,62,76,6.7,24,66,69,chickpea
13,134,200,6.8,13,90,60,grapes
32,35,25,6.1,21,153,72,mango
70,46,17,7.4,30,79,53,maize
27,16,35,7.2,29,163,77,mango
8,128,202,6.2,10,138,62,apple
93,16,53,6.9,20,76,74,muskmelon
24,56,18,7.2,33,76,60,pigeonpeas
15,74,16,5.7,25,97,68,pigeonpeas
21,10,29,6.4,31,178,80,coconut
24,57,78,6.6,23,56,70,chickpea
0,67,25,6.6,20,52,60,kidneybeans
39,56,53,6.5,27,81,73,papaya
8,15,12,6.7,25,145,70,orange
58,69,25,6.1,32,94,65,blackgram
118,26,49,6.6,20,64,76,watermelon
1,129,203,7,7,94,62,apple
2,58,17,6.5,21,93,62,pigeonpeas
35,133,199,6.7,5,91,60,apple
34,63,51,6.3,26,124,80,papaya
74,56,25,6.8,25,53,59,maize
39,49,49,6.2,26,82,73,papaya
68,36,17,6.6,24,93,51,maize
20,142,201,6.6,5,98,70,apple
14,18,43,6.8,39,68,68,pomegranate
77,50,22,7.2,26,60,52,maize
140,38,18,6.9,24,95,69,cotton
32,31,27,6.5,25,165,79,mango
25,57,80,6.5,28,68,68,chickpea
31,62,21,7.5,23,62,61,blackgram
10,58,21,6.4,30,96,66,kidneybeans
70,50,15,6.6,21,85,57,maize
7,143,200,6.5,10,104,64,apple
109,22,51,6.5,20,61,74,watermelon
30,77,84,7.2,23,65,67,chickpea
87,95,49,6,26,189,70,banana
40,55,25,6,27,88,68,blackgram
21,28,6,6.3,22,125,65,orange
36,5,27,6.7,32,154,78,coconut
10,60,22,7,33,65,70,mothbeans
94,91,50,5.8,29,158,73,banana
28,143,204,6.4,5,119,67,apple
38,21,32,6.2,22,174,72,mango
38,125,199,6.4,6,111,62,apple
102,44,15,6.8,23,95,70,cotton
40,145,204,6.8,8,105,64,apple
61,49,23,7.4,23,70,54,maize
5,15,15,6.7,22,129,68,orange
40,123,195,6.4,10,49,62,grapes
98,40,42,5.6,32,121,78,rice
62,42,36,6.2,32,137,71,rice
29,21,42,6.4,30,88,65,pomegranate
29,124,204,6.2,18,87,70,grapes
63,44,20,7.4,23,68,53,maize
34,50,20,6,23,80,69,mungbean
76,49,25,7.3,25,82,54,maize
21,68,15,6.1,32,55,66,blackgram
35,59,23,6,23,71,67,mothbeans
38,8,39,6.8,28,56,63,pomegranate
37,28,29,6.8,21,156,72,mango
40,144,198,6.3,7,102,67,apple
46,64,75,7.3,29,94,67,chickpea
106,19,54,6.7,20,55,79,watermelon
40,48,18,7.2,31,63,68,mothbeans
118,51,21,6.6,29,80,68,cotton
32,63,25,7.1,30,88,65,blackgram
8,5,34,6.7,32,156,75,coconut
34,23,27,7.5,24,164,73,mango
10,54,18,6.4,28,75,60,mungbean
83,11,55,6.1,20,71,80,watermelon
19,51,21,6.7,27,64,68,mothbeans
32,139,202,7,6,144,62,apple
19,74,15,6.2,30,70,61,lentil
13,69,16,5.5,24,89,67,pigeonpeas
39,22,31,6.1,27,174,80,mango
12,47,22,6.1,35,89,64,mothbeans
119,48,22,6.4,20,55,66,cotton
33,58,78,7.4,23,82,68,chickpea
22,123,203,6.2,18,32,63,grapes
37,30,26,6.6,31,191,77,mango
28,70,80,6.1,20,29,65,chickpea
10,58,22,6.6,22,61,66,kidneybeans
22,12,28,6.8,22,169,80,coconut
29,50,24,6,31,81,70,mungbean
